foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
7.415e-05,3.502e-04,1.926e-03,7.860e-04,6.893e-04,9.357e-04,7.457e-05,4.964e-05
1.154e-04,9.098e-04,1.614e-03,5.722e-04,4.542e-04,5.943e-04,3.445e-05,8.395e-05
2.420e-04,1.223e-03,1.315e-03,3.794e-04,2.674e-04,3.027e-04,6.025e-06,9.255e-05
3.223e-04,1.375e-03,1.036e-03,2.080e-04,1.215e-04,6.050e-05,1.258e-05,8.459e-05
3.676e-04,1.418e-03,7.804e-04,5.889e-05,7.987e-06,1.386e-04,2.615e-05,6.865e-05
3.895e-04,1.394e-03,5.493e-04,6.948e-05,7.886e-05,2.968e-04,3.463e-05,4.777e-05
3.955e-04,1.334e-03,3.418e-04,1.774e-04,1.438e-04,4.214e-04,3.941e-05,2.579e-05
3.904e-04,1.252e-03,1.566e-04,2.677e-04,1.914e-04,5.139e-04,4.310e-05,5.811e-06
3.791e-04,1.167e-03,7.987e-06,3.421e-04,2.245e-04,5.799e-04,4.373e-05,1.195e-05
3.630e-04,1.084e-03,1.540e-04,4.015e-04,2.459e-04,6.243e-04,4.338e-05,2.752e-05
3.463e-04,1.007e-03,2.830e-04,4.493e-04,2.589e-04,6.490e-04,4.343e-05,4.040e-05
3.291e-04,9.449e-04,3.968e-04,4.853e-04,2.631e-04,6.578e-04,4.152e-05,4.900e-05
3.117e-04,8.888e-04,4.969e-04,5.131e-04,2.631e-04,6.531e-04,4.022e-05,5.572e-05
2.958e-04,8.459e-04,5.849e-04,5.319e-04,2.589e-04,6.393e-04,3.892e-05,6.019e-05
2.803e-04,8.130e-04,6.617e-04,5.442e-04,2.502e-04,6.159e-04,3.564e-05,6.068e-05
2.673e-04,7.894e-04,7.285e-04,5.508e-04,2.394e-04,5.860e-04,3.479e-05,6.136e-05
2.558e-04,7.758e-04,7.862e-04,5.528e-04,2.268e-04,5.522e-04,3.200e-05,5.968e-05
2.457e-04,7.677e-04,8.359e-04,5.507e-04,2.126e-04,5.137e-04,3.014e-05,5.597e-05
2.358e-04,7.656e-04,8.781e-04,5.450e-04,1.981e-04,4.725e-04,2.836e-05,5.277e-05
2.284e-04,7.663e-04,9.134e-04,5.368e-04,1.833e-04,4.307e-04,2.627e-05,4.829e-05
2.222e-04,7.734e-04,9.425e-04,5.260e-04,1.679e-04,3.870e-04,2.455e-05,4.283e-05
2.172e-04,7.844e-04,9.659e-04,5.135e-04,1.523e-04,3.427e-04,2.228e-05,3.758e-05
2.124e-04,7.946e-04,9.840e-04,4.996e-04,1.377e-04,3.009e-04,2.108e-05,3.165e-05
2.087e-04,8.068e-04,9.971e-04,4.848e-04,1.231e-04,2.577e-04,1.918e-05,2.630e-05
2.062e-04,8.218e-04,1.006e-03,4.690e-04,1.091e-04,2.161e-04,1.836e-05,2.006e-05
