Time	100GtC	200GtC	500GtC	-100GtC	-200GtC	-500GtC
0	0	0	0	0	0	0
1	0.5	0.9	2	-0.5	-1	-2.8
2	2.5	4.8	10.5	-2.8	-5.9	-17.8
3	4.6	8.8	18.7	-5.2	-11	-33.1
4	6.3	11.9	25.4	-7.1	-15	-45.1
5	7.7	14.5	30.9	-8.6	-18.2	-54.8
6	8.9	16.8	35.6	-9.9	-21	-62.8
7	9.9	18.7	39.7	-11.1	-23.3	-69.5
8	10.8	20.4	43.3	-12	-25.4	-75.2
9	11.6	21.9	46.4	-12.9	-27.1	-80.2
10	12.3	23.2	49.2	-13.6	-28.6	-84.5
11	12.9	24.3	51.7	-14.3	-30	-88.3
12	13.4	25.4	53.9	-14.9	-31.2	-91.5
13	13.9	26.3	55.8	-15.4	-32.3	-94.4
14	14.3	27.1	57.5	-15.9	-33.2	-96.9
15	14.7	27.9	59.1	-16.3	-34.1	-99.1
16	15.1	28.6	60.4	-16.7	-34.9	-101.1
17	15.4	29.2	61.6	-17	-35.6	-102.9
18	15.7	29.7	62.7	-17.3	-36.2	-104.4
19	16	30.2	63.7	-17.6	-36.7	-105.8
20	16.2	30.7	64.6	-17.8	-37.2	-107
21	16.4	31.1	65.4	-18	-37.7	-108.1
22	16.6	31.4	66.2	-18.2	-38.1	-109.1
23	16.8	31.8	66.9	-18.4	-38.5	-109.9
24	16.9	32.1	67.5	-18.5	-38.8	-110.7
25	17.1	32.4	68.1	-18.7	-39.1	-111.3
26	17.2	32.7	68.7	-18.8	-39.4	-111.9
27	17.3	32.9	69.2	-18.9	-39.7	-112.4
28	17.4	33.1	69.7	-19	-39.9	-112.9
29	17.5	33.3	70.2	-19.1	-40.1	-113.3
30	17.6	33.5	70.6	-19.2	-40.3	-113.6
31	17.7	33.7	71.1	-19.3	-40.5	-113.9
32	17.8	33.8	71.5	-19.4	-40.7	-114.1
33	17.9	34	71.9	-19.4	-40.8	-114.3
34	17.9	34.1	72.3	-19.5	-40.9	-114.4
35	18	34.2	72.6	-19.5	-41.1	-114.5
36	18	34.3	73	-19.5	-41.1	-114.6
37	18.1	34.4	73.3	-19.6	-41.2	-114.7
38	18.1	34.4	73.7	-19.6	-41.3	-114.7
39	18.2	34.5	73.9	-19.6	-41.3	-114.8
40	18.2	34.6	74.2	-19.6	-41.4	-114.8
41	18.2	34.6	74.5	-19.6	-41.4	-114.8
42	18.3	34.7	74.8	-19.6	-41.4	-114.8
43	18.3	34.8	75	-19.6	-41.5	-114.8
44	18.3	34.8	75.2	-19.6	-41.5	-114.8
45	18.3	34.8	75.4	-19.6	-41.5	-114.9
46	18.3	34.9	75.5	-19.6	-41.5	-114.9
47	18.3	34.9	75.7	-19.6	-41.5	-114.9
48	18.3	34.9	75.9	-19.6	-41.5	-115
49	18.3	35	76.1	-19.6	-41.5	-115
50	18.3	35	76.2	-19.6	-41.5	-115
51	18.3	35	76.4	-19.6	-41.5	-115
52	18.2	35	76.6	-19.6	-41.5	-115
53	18.2	35	76.7	-19.6	-41.5	-114.9
54	18.2	35	76.8	-19.5	-41.5	-114.9
55	18.2	35	76.9	-19.5	-41.5	-114.8
56	18.2	35.1	77.1	-19.5	-41.4	-114.7
57	18.2	35.1	77.2	-19.5	-41.4	-114.7
58	18.2	35.1	77.2	-19.4	-41.3	-114.6
59	18.2	35.1	77.3	-19.4	-41.3	-114.5
60	18.2	35.1	77.4	-19.4	-41.3	-114.4
61	18.2	35.1	77.4	-19.4	-41.2	-114.2
62	18.1	35.2	77.5	-19.3	-41.2	-114.1
63	18.1	35.2	77.5	-19.3	-41.1	-113.9
64	18.1	35.2	77.5	-19.3	-41.1	-113.7
65	18.1	35.2	77.5	-19.2	-41	-113.6
66	18.1	35.2	77.4	-19.2	-41	-113.4
67	18.1	35.2	77.4	-19.2	-40.9	-113.2
68	18.1	35.2	77.4	-19.1	-40.9	-112.9
69	18.1	35.2	77.3	-19.1	-40.8	-112.7
70	18	35.2	77.3	-19.1	-40.7	-112.5
71	18	35.1	77.3	-19.1	-40.7	-112.3
72	18	35.1	77.2	-19	-40.6	-112
73	18	35.1	77.2	-19	-40.5	-111.8
74	17.9	35.1	77.2	-18.9	-40.4	-111.5
75	17.9	35.1	77.1	-18.9	-40.4	-111.3
76	17.9	35	77.1	-18.8	-40.3	-111
77	17.9	35	77	-18.8	-40.2	-110.7
78	17.8	35	77	-18.8	-40.2	-110.4
79	17.8	34.9	76.9	-18.7	-40.1	-110.2
80	17.8	34.9	76.9	-18.7	-40	-109.9
81	17.8	34.9	76.8	-18.6	-39.9	-109.6
82	17.8	34.8	76.8	-18.6	-39.9	-109.3
83	17.7	34.7	76.7	-18.5	-39.8	-109
84	17.7	34.7	76.6	-18.5	-39.7	-108.7
85	17.7	34.7	76.6	-18.4	-39.7	-108.4
86	17.7	34.6	76.5	-18.4	-39.6	-108.2
87	17.6	34.5	76.5	-18.4	-39.5	-107.9
88	17.6	34.5	76.4	-18.3	-39.4	-107.6
89	17.6	34.4	76.3	-18.3	-39.4	-107.3
90	17.5	34.4	76.2	-18.3	-39.3	-107.1
91	17.5	34.3	76.2	-18.2	-39.2	-106.8
92	17.5	34.3	76.1	-18.2	-39.1	-106.5
93	17.4	34.3	76	-18.1	-39.1	-106.3
94	17.4	34.2	75.9	-18.1	-39	-106
95	17.4	34.2	75.9	-18.1	-38.9	-105.7
96	17.4	34.2	75.8	-18	-38.8	-105.5
97	17.3	34.1	75.7	-18	-38.7	-105.2
98	17.3	34.1	75.6	-17.9	-38.6	-104.9
99	17.3	34.1	75.6	-17.9	-38.5	-104.6
100	17.3	34.1	75.5	-17.9	-38.5	-104.4
101	17.2	34	75.4	-17.9	-38.4	-104.1
102	17.2	34	75.3	-17.8	-38.3	-103.9
103	17.2	34	75.2	-17.8	-38.2	-103.7
104	17.2	33.9	75.1	-17.8	-38.1	-103.4
105	17.2	33.9	75	-17.7	-38	-103.2
106	17.1	33.9	74.9	-17.7	-37.9	-102.9
107	17.1	33.9	74.8	-17.6	-37.9	-102.7
108	17.1	33.8	74.7	-17.6	-37.8	-102.4
109	17.1	33.8	74.7	-17.6	-37.7	-102.2
110	17.1	33.7	74.6	-17.6	-37.6	-102
111	17	33.7	74.5	-17.5	-37.5	-101.7
112	17	33.6	74.3	-17.5	-37.4	-101.5
113	17	33.6	74.3	-17.5	-37.4	-101.3
114	17	33.5	74.1	-17.4	-37.3	-101.1
115	16.9	33.5	74	-17.4	-37.2	-100.9
116	16.9	33.4	73.9	-17.4	-37.1	-100.7
117	16.9	33.3	73.9	-17.3	-37.1	-100.5
118	16.9	33.3	73.8	-17.3	-37	-100.2
119	16.8	33.2	73.7	-17.3	-36.9	-100
120	16.8	33.2	73.6	-17.2	-36.8	-99.9
121	16.8	33.1	73.5	-17.2	-36.8	-99.7
122	16.8	33	73.4	-17.2	-36.7	-99.4
123	16.8	33	73.3	-17.1	-36.6	-99.2
124	16.8	33	73.3	-17.1	-36.6	-99
125	16.8	32.9	73.2	-17.1	-36.5	-98.8
126	16.8	32.9	73.1	-17	-36.4	-98.6
127	16.8	32.9	73.1	-17	-36.3	-98.3
128	16.8	32.8	73	-16.9	-36.3	-98.1
129	16.7	32.8	72.9	-16.9	-36.2	-97.9
130	16.7	32.8	72.8	-16.9	-36.1	-97.7
131	16.7	32.7	72.7	-16.9	-36.1	-97.6
132	16.7	32.7	72.6	-16.8	-36	-97.4
133	16.6	32.7	72.5	-16.8	-35.9	-97.2
134	16.6	32.7	72.4	-16.8	-35.8	-97
135	16.6	32.7	72.3	-16.7	-35.8	-96.8
136	16.6	32.6	72.2	-16.7	-35.7	-96.6
137	16.5	32.6	72.1	-16.7	-35.6	-96.4
138	16.5	32.6	72	-16.7	-35.6	-96.3
139	16.5	32.5	71.9	-16.6	-35.5	-96.1
140	16.5	32.5	71.8	-16.6	-35.4	-95.9
141	16.5	32.5	71.8	-16.6	-35.4	-95.7
142	16.4	32.4	71.7	-16.5	-35.3	-95.6
